quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
781/4	0.125	66	66	1/16	1/16	3/4	1	1	1/32		1/32	1		7	73	1091
1563/8	0.125	66	66	3/32	3/32	3/4	1	1	1/32		1/32	1		2	74	1092
391/2	0.125	66	66	1/8	1/8	3/4	1	1	1/32		1/32	1		-1	77	1093
1565/8	0.125	66	66	5/32	5/32	3/4	1	1	1/32		1/32	1		4	76	1094
783/4	0.125	66	66	3/16	3/16	3/4	1	1	1/32		1/32	1		2	74	1095
1567/8	0.125	66	66	7/32	7/32	3/4	1	1	1/32		1/32	1		4	76	1096
196	1.0	66	66	1/4	1/4	3/4	2	2	1/4		1/4	1	1	3	57	1109
196	0.5	66	66	1/4	1/4	3/4	2	1	1/8		1/8	1	1	0	60	1103
196	0.5	66	66	1/4	1/4	3/4	1	1	1/8		1/8	1	1	-1	77	1097
393/2	0.125	66	66	3/8	3/8	3/4	2	1	1/32		1/32	1	-1	0	60	1104
393/2	0.125	66	66	3/8	3/8	3/4	1	1	1/32		1/32	1	-1	-1	77	1098
1573/8	0.125	66	66	13/32	13/32	3/4	2	1	1/32		1/32	1		-1	65	1105
1573/8	0.125	66	66	13/32	13/32	3/4	1	1	1/32		1/32	1		0	72	1099
787/4	0.125	66	66	7/16	7/16	3/4	2	1	1/32		1/32	1		0	60	1106
787/4	0.125	66	66	7/16	7/16	3/4	1	1	1/32		1/32	1		-1	77	1100
1575/8	0.125	66	66	15/32	15/32	3/4	2	1	1/32		1/32	1		-1	65	1107
1575/8	0.125	66	66	15/32	15/32	3/4	1	1	1/32		1/32	1		0	72	1101
197	0.5	66	66	1/2	1/2	3/4	2	2	1/8		1/8	1	-1	3	57	1110
197	0.5	66	66	1/2	1/2	3/4	2	1	1/8		1/8	1		0	60	1108
197	0.5	66	66	1/2	1/2	3/4	1	1	1/8		1/8	1		3	69	1102
198	0.125	67	67	0	0	3/4	1	1	1/32		1/32	1		1	79	1111
1585/8	0.125	67	67	1/32	1/32	3/4	1	1	1/32		1/32	1		-1	77	1112
793/4	0.125	67	67	1/16	1/16	3/4	1	1	1/32		1/32	1		4	76	1113
1587/8	0.125	67	67	3/32	3/32	3/4	1	1	1/32		1/32	1		-1	77	1114
397/2	0.125	67	67	1/8	1/8	3/4	1	1	1/32		1/32	1		3	81	1115
1589/8	0.125	67	67	5/32	5/32	3/4	1	1	1/32		1/32	1		1	79	1116
795/4	0.125	67	67	3/16	3/16	3/4	1	1	1/32		1/32	1		6	78	1117
1591/8	0.125	67	67	7/32	7/32	3/4	1	1	1/32		1/32	1		1	79	1118
199	1.0	67	67	1/4	1/4	3/4	2	2	1/4		1/4	1		-1	53	1138
199	1.0	67	67	1/4	1/4	3/4	2	1	1/4		1/4	1	1	0	60	1135
199	0.125	67	67	1/4	1/4	3/4	1	1	1/32		1/32	1		3	81	1119
1593/8	0.125	67	67	9/32	9/32	3/4	1	1	1/32		1/32	1		-2	82	1120
797/4	0.125	67	67	5/16	5/16	3/4	1	1	1/32		1/32	1		0	84	1121
1595/8	0.125	67	67	11/32	11/32	3/4	1	1	1/32		1/32	1		-2	82	1122
399/2	0.125	67	67	3/8	3/8	3/4	1	1	1/32		1/32	1		3	81	1123
1597/8	0.125	67	67	13/32	13/32	3/4	1	1	1/32		1/32	1		1	79	1124
799/4	0.125	67	67	7/16	7/16	3/4	1	1	1/32		1/32	1		-1	77	1125
1599/8	0.125	67	67	15/32	15/32	3/4	1	1	1/32		1/32	1		4	76	1126
200	1.0	67	67	1/2	1/2	3/4	2	2	1/4		1/4	1		3	57	1139
200	0.5	67	67	1/2	1/2	3/4	2	1	1/8		1/8	1	-1	0	60	1136
200	0.125	67	67	1/2	1/2	3/4	1	1	1/32		1/32	1		-1	77	1127
1601/8	0.125	67	67	17/32	17/32	3/4	1	1	1/32		1/32	1		1	79	1128
801/4	0.125	67	67	9/16	9/16	3/4	1	1	1/32		1/32	1		3	81	1129
1603/8	0.125	67	67	19/32	19/32	3/4	1	1	1/32		1/32	1		4	76	1130
401/2	0.5	67	67	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	65	1137
401/2	0.125	67	67	5/8	5/8	3/4	1	1	1/32		1/32	1		-1	77	1131
1605/8	0.125	67	67	21/32	21/32	3/4	1	1	1/32		1/32	1		0	72	1132
803/4	0.125	67	67	11/16	11/16	3/4	1	1	1/32		1/32	1		2	74	1133
1607/8	0.125	67	67	23/32	23/32	3/4	1	1	1/32		1/32	1		3	69	1134
201	0.5	68	68	0	0	3/4	2	2	1/8		1/8	1		1	55	1156
201	0.5	68	68	0	0	3/4	2	1	1/8		1/8	1		2	62	1149
201	0.125	68	68	0	0	3/4	1	1	1/32		1/32	1		0	72	1140
1609/8	0.125	68	68	1/32	1/32	3/4	1	1	1/32		1/32	1		5	71	1141
805/4	0.125	68	68	1/16	1/16	3/4	1	1	1/32		1/32	1		3	69	1142
1611/8	0.125	68	68	3/32	3/32	3/4	1	1	1/32		1/32	1		5	71	1143
403/2	0.5	68	68	1/8	1/8	3/4	2	2	1/8		1/8	1		0	60	1157
403/2	0.5	68	68	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64	1150
403/2	0.125	68	68	1/8	1/8	3/4	1	1	1/32		1/32	1		0	72	1144
1613/8	0.125	68	68	5/32	5/32	3/4	1	1	1/32		1/32	1		-2	70	1145
807/4	0.125	68	68	3/16	3/16	3/4	1	1	1/32		1/32	1		3	69	1146
1615/8	0.125	68	68	7/32	7/32	3/4	1	1	1/32		1/32	1		-2	70	1147
202	0.5	68	68	1/4	1/4	3/4	2	2	1/8		1/8	1		-1	53	1158
202	0.5	68	68	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	65	1151
202	0.5	68	68	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	1148
203	0.25	68	68	1/2	1/2	3/4	2	1	1/16		1/16	1		3	45	1152
203	0.25	68	68	1/2	1/2	3/4	2	1	1/16		1/16	1		3	57	1152
813/4	0.25	68	68	9/16	9/16	3/4	2	1	1/16		1/16	1		-2	46	1153
813/4	0.25	68	68	9/16	9/16	3/4	2	1	1/16		1/16	1		-2	58	1153
407/2	0.25	68	68	5/8	5/8	3/4	2	1	1/16		1/16	1		5	47	1154
407/2	0.25	68	68	5/8	5/8	3/4	2	1	1/16		1/16	1		5	59	1154
815/4	0.25	68	68	11/16	11/16	3/4	2	1	1/16		1/16	1		0	48	1155
815/4	0.25	68	68	11/16	11/16	3/4	2	1	1/16		1/16	1		0	60	1155
204	0.75	69	69	0	0	3/4	2	1	3/16		1/8	3/2		-1	41	1171
204	0.75	69	69	0	0	3/4	2	1	3/16		1/8	3/2		-1	53	1171
204	0.25	69	69	0	0	3/4	1	1	1/16		1/16	1		3	69	1159
204	0.25	69	69	0	0	3/4	1	1	1/16		1/16	1		0	72	1159
817/4	0.25	69	69	1/16	1/16	3/4	1	1	1/16		1/16	1		3	69	1160
817/4	0.25	69	69	1/16	1/16	3/4	1	1	1/16		1/16	1		0	72	1160
409/2	0.25	69	69	1/8	1/8	3/4	1	1	1/16		1/16	1		3	69	1161
409/2	0.25	69	69	1/8	1/8	3/4	1	1	1/16		1/16	1		0	72	1161
819/4	0.125	69	69	3/16	3/16	3/4	2	1	1/32		1/32	1		1	55	1172
819/4	0.25	69	69	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	1162
819/4	0.25	69	69	3/16	3/16	3/4	1	1	1/16		1/16	1		0	72	1162
1639/8	0.125	69	69	7/32	7/32	3/4	2	1	1/32		1/32	1		-1	53	1173
205	0.5	69	69	1/4	1/4	3/4	2	1	1/8		1/8	1		4	40	1174
205	0.5	69	69	1/4	1/4	3/4	2	1	1/8		1/8	1		4	52	1174
205	0.25	69	69	1/4	1/4	3/4	1	1	1/16		1/16	1		-2	70	1163
205	0.25	69	69	1/4	1/4	3/4	1	1	1/16		1/16	1		0	72	1163
821/4	0.25	69	69	5/16	5/16	3/4	1	1	1/16		1/16	1		-2	70	1164
821/4	0.25	69	69	5/16	5/16	3/4	1	1	1/16		1/16	1		0	72	1164
411/2	0.25	69	69	3/8	3/8	3/4	1	1	1/16		1/16	1		-2	70	1165
411/2	0.25	69	69	3/8	3/8	3/4	1	1	1/16		1/16	1		0	72	1165
823/4	0.25	69	69	7/16	7/16	3/4	2	1	1/16		1/16	1		4	52	1175
823/4	0.25	69	69	7/16	7/16	3/4	2	1	1/16		1/16	1		4	64	1175
823/4	0.25	69	69	7/16	7/16	3/4	1	1	1/16		1/16	1		-2	70	1166
823/4	0.25	69	69	7/16	7/16	3/4	1	1	1/16		1/16	1		0	72	1166
206	0.25	69	69	1/2	1/2	3/4	2	1	1/16		1/16	1		1	55	1176
206	0.25	69	69	1/2	1/2	3/4	2	1	1/16		1/16	1		1	67	1176
206	0.25	69	69	1/2	1/2	3/4	1	1	1/16		1/16	1		-2	70	1167
206	0.25	69	69	1/2	1/2	3/4	1	1	1/16		1/16	1		0	72	1167
825/4	0.25	69	69	9/16	9/16	3/4	2	1	1/16		1/16	1		-1	53	1177
825/4	0.25	69	69	9/16	9/16	3/4	2	1	1/16		1/16	1		-1	65	1177
825/4	0.25	69	69	9/16	9/16	3/4	1	1	1/16		1/16	1		3	69	1168
825/4	0.25	69	69	9/16	9/16	3/4	1	1	1/16		1/16	1		0	72	1168
413/2	0.25	69	69	5/8	5/8	3/4	2	1	1/16		1/16	1		4	52	1178
413/2	0.25	69	69	5/8	5/8	3/4	2	1	1/16		1/16	1		4	64	1178
413/2	0.25	69	69	5/8	5/8	3/4	1	1	1/16		1/16	1		1	67	1169
413/2	0.25	69	69	5/8	5/8	3/4	1	1	1/16		1/16	1		0	72	1169
827/4	0.25	69	69	11/16	11/16	3/4	2	1	1/16		1/16	1		2	50	1179
827/4	0.25	69	69	11/16	11/16	3/4	2	1	1/16		1/16	1		2	62	1179
827/4	0.25	69	69	11/16	11/16	3/4	1	1	1/16		1/16	1		-1	65	1170
827/4	0.25	69	69	11/16	11/16	3/4	1	1	1/16		1/16	1		0	72	1170
207	0.25	70	70	0	0	3/4	2	1	1/16		1/16	1		0	48	1185
207	0.25	70	70	0	0	3/4	2	1	1/16		1/16	1		0	60	1185
207	0.25	70	70	0	0	3/4	1	1	1/16		1/16	1		4	64	1180
207	0.25	70	70	0	0	3/4	1	1	1/16		1/16	1		0	72	1180
829/4	0.25	70	70	1/16	1/16	3/4	2	1	1/16		1/16	1		5	47	1186
829/4	0.25	70	70	1/16	1/16	3/4	2	1	1/16		1/16	1		5	59	1186
829/4	0.25	70	70	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	65	1181
829/4	0.25	70	70	1/16	1/16	3/4	1	1	1/16		1/16	1		2	74	1181
415/2	0.5	70	70	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	46	1187
415/2	0.5	70	70	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	58	1187
415/2	0.5	70	70	1/8	1/8	3/4	1	1	1/8		1/8	1		1	67	1182
415/2	0.5	70	70	1/8	1/8	3/4	1	1	1/8		1/8	1		4	76	1182
417/2	0.5	70	70	3/8	3/8	3/4	2	1	1/8		1/8	1		3	45	1188
417/2	0.5	70	70	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	1188
417/2	0.5	70	70	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	1183
417/2	0.5	70	70	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	77	1183
419/2	0.5	70	70	5/8	5/8	3/4	2	1	1/8		1/8	1		5	47	1189
419/2	0.5	70	70	5/8	5/8	3/4	2	1	1/8		1/8	1		-4	56	1189
419/2	0.5	70	70	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	1184
419/2	0.5	70	70	5/8	5/8	3/4	1	1	1/8		1/8	1		2	74	1184
421/2	0.5	71	71	1/8	1/8	3/4	2	1	1/8		1/8	1		0	48	1200
421/2	0.5	71	71	1/8	1/8	3/4	2	1	1/8		1/8	1		3	57	1200
421/2	0.5	71	71	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	65	1190
421/2	0.5	71	71	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72	1190
423/2	0.5	71	71	3/8	3/8	3/4	2	1	1/8		1/8	1		0	48	1201
423/2	0.5	71	71	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	1201
423/2	0.5	71	71	3/8	3/8	3/4	1	1	1/8		1/8	1		0	60	1191
423/2	0.5	71	71	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	65	1191
212	0.0	71	71	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1192
212	0.0	71	71	1/2	1/2	3/4	1	2	0	grace16	1/16	1		-1	65	1196
212	0.5	71	71	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	1202
212	0.5	71	71	1/2	1/2	3/4	2	1	1/8		1/8	1		-2	58	1202
212	0.5	71	71	1/2	1/2	3/4	1	2	1/8		1/8	1		4	64	1197
212	0.5	71	71	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1193
425/2	0.5	71	71	5/8	5/8	3/4	2	1	1/8		1/8	1		0	48	1203
425/2	0.5	71	71	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	58	1203
425/2	0.25	71	71	5/8	5/8	3/4	1	2	1/16		1/16	1		2	62	1198
425/2	0.25	71	71	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1194
851/4	0.25	71	71	11/16	11/16	3/4	1	2	1/16		1/16	1		4	64	1199
851/4	0.25	71	71	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1195
213	1.0	72	72	0	0	3/4	2	1	1/4		1/4	1		-1	53	1217
213	1.0	72	72	0	0	3/4	2	1	1/4		1/4	1		-2	58	1217
213	1.0	72	72	0	0	3/4	1	2	1/4		1/4	1		4	64	1215
213	0.5	72	72	0	0	3/4	1	1	1/8		1/8	1		1	67	1204
427/2	0.5	72	72	1/8	1/8	3/4	1	1	1/8		1/8	1		8	68	1205
214	0.5	72	72	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	53	1218
214	0.5	72	72	1/4	1/4	3/4	2	1	1/8		1/8	1		3	57	1218
214	0.5	72	72	1/4	1/4	3/4	1	2	1/8		1/8	1		-1	65	1216
214	0.5	72	72	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	1206
215	0.125	72	72	1/2	1/2	3/4	1	1	1/32		1/32	1		3	69	1207
1721/8	0.125	72	72	17/32	17/32	3/4	1	1	1/32		1/32	1		3	81	1208
861/4	0.125	72	72	9/16	9/16	3/4	1	1	1/32		1/32	1		-2	70	1209
1723/8	0.125	72	72	19/32	19/32	3/4	1	1	1/32		1/32	1		-2	82	1210
431/2	0.125	72	72	5/8	5/8	3/4	1	1	1/32		1/32	1		5	71	1211
1725/8	0.125	72	72	21/32	21/32	3/4	1	1	1/32		1/32	1		5	83	1212
863/4	0.125	72	72	11/16	11/16	3/4	1	1	1/32		1/32	1		0	72	1213
1727/8	0.125	72	72	23/32	23/32	3/4	1	1	1/32		1/32	1		0	84	1214
216	0.0	73	73	0	0	3/4	1	1	0	grace32	1/32	1		-1	65	1219
216	1.0	73	73	0	0	3/4	2	2	1/4		1/4	1	1	0	48	1238
216	0.75	73	73	0	0	3/4	2	1	3/16		1/8	3/2		3	57	1234
216	0.75	73	73	0	0	3/4	1	1	3/16		1/8	3/2		-1	77	1220
867/4	0.125	73	73	3/16	3/16	3/4	2	1	1/32		1/32	1		-2	58	1235
867/4	0.125	73	73	3/16	3/16	3/4	1	1	1/32		1/32	1		1	79	1221
1735/8	0.125	73	73	7/32	7/32	3/4	2	1	1/32		1/32	1		3	57	1236
1735/8	0.125	73	73	7/32	7/32	3/4	1	1	1/32		1/32	1		-1	77	1222
217	0.5	73	73	1/4	1/4	3/4	2	2	1/8		1/8	1	-1	0	48	1239
217	0.5	73	73	1/4	1/4	3/4	2	1	1/8		1/8	1		1	55	1237
217	0.5	73	73	1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	1223
871/4	0.125	73	73	7/16	7/16	3/4	1	1	1/32		1/32	1		4	76	1224
1743/8	0.125	73	73	15/32	15/32	3/4	1	1	1/32		1/32	1		4	88	1225
218	0.125	73	73	1/2	1/2	3/4	1	1	1/32		1/32	1		-1	77	1226
1745/8	0.125	73	73	17/32	17/32	3/4	1	1	1/32		1/32	1		-1	89	1227
873/4	0.125	73	73	9/16	9/16	3/4	1	1	1/32		1/32	1		4	76	1228
1747/8	0.125	73	73	19/32	19/32	3/4	1	1	1/32		1/32	1		4	88	1229
437/2	0.125	73	73	5/8	5/8	3/4	1	1	1/32		1/32	1		-1	77	1230
1749/8	0.125	73	73	21/32	21/32	3/4	1	1	1/32		1/32	1		-1	89	1231
875/4	0.125	73	73	11/16	11/16	3/4	1	1	1/32		1/32	1		2	74	1232
1751/8	0.125	73	73	23/32	23/32	3/4	1	1	1/32		1/32	1		2	86	1233
219	0.25	74	74	0	0	3/4	2	1	1/16		1/16	1		0	36	1253
219	0.25	74	74	0	0	3/4	2	1	1/16		1/16	1		0	48	1253
219	0.125	74	74	0	0	3/4	1	1	1/32		1/32	1		0	72	1240
1753/8	0.125	74	74	1/32	1/32	3/4	1	1	1/32		1/32	1		0	84	1241
877/4	0.25	74	74	1/16	1/16	3/4	2	1	1/16		1/16	1		2	38	1254
877/4	0.25	74	74	1/16	1/16	3/4	2	1	1/16		1/16	1		2	50	1254
877/4	0.125	74	74	1/16	1/16	3/4	1	1	1/32		1/32	1		5	71	1242
1755/8	0.125	74	74	3/32	3/32	3/4	1	1	1/32		1/32	1		5	83	1243
439/2	0.5	74	74	1/8	1/8	3/4	2	1	1/8		1/8	1		4	40	1255
439/2	0.5	74	74	1/8	1/8	3/4	2	1	1/8		1/8	1		4	52	1255
439/2	0.125	74	74	1/8	1/8	3/4	1	1	1/32		1/32	1		-2	70	1244
1757/8	0.125	74	74	5/32	5/32	3/4	1	1	1/32		1/32	1		-2	82	1245
883/4	0.25	74	74	7/16	7/16	3/4	2	1	1/16		1/16	1		4	52	1256
883/4	0.25	74	74	7/16	7/16	3/4	2	1	1/16		1/16	1		-2	58	1256
883/4	0.25	74	74	7/16	7/16	3/4	1	1	1/16		1/16	1		1	79	1246
221	0.5	74	74	1/2	1/2	3/4	2	1	1/8		1/8	1		-1	53	1257
221	0.5	74	74	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57	1257
221	0.167	74	74	1/2	1/2	3/4	1	1	1/24		1/16	2/3		0	84	1247
1327/6	0.167	74	74	13/24	13/24	3/4	1	1	1/24		1/16	2/3		3	81	1248
664/3	0.167	74	74	7/12	7/12	3/4	1	1	1/24		1/16	2/3		-1	77	1249
443/2	0.5	74	74	5/8	5/8	3/4	2	1	1/8		1/8	1		1	55	1258
443/2	0.5	74	74	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	58	1258
443/2	0.167	74	74	5/8	5/8	3/4	1	1	1/24		1/16	2/3		-2	82	1250
665/3	0.167	74	74	2/3	2/3	3/4	1	1	1/24		1/16	2/3		1	79	1251
1331/6	0.167	74	74	17/24	17/24	3/4	1	1	1/24		1/16	2/3		4	76	1252
222	0.5	75	75	0	0	3/4	2	1	1/8		1/8	1		3	57	1271
222	0.5	75	75	0	0	3/4	2	1	1/8		1/8	1		0	60	1271
222	0.167	75	75	0	0	3/4	1	1	1/24		1/16	2/3		-1	77	1259
1333/6	0.167	75	75	1/24	1/24	3/4	1	1	1/24		1/16	2/3		0	72	1260
667/3	0.167	75	75	1/12	1/12	3/4	1	1	1/24		1/16	2/3		3	69	1261
445/2	0.5	75	75	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	46	1272
445/2	0.5	75	75	1/8	1/8	3/4	2	1	1/8		1/8	1		1	55	1272
445/2	0.167	75	75	1/8	1/8	3/4	1	1	1/24		1/16	2/3		2	74	1262
668/3	0.167	75	75	1/6	1/6	3/4	1	1	1/24		1/16	2/3		-2	70	1263
1337/6	0.167	75	75	5/24	5/24	3/4	1	1	1/24		1/16	2/3		1	67	1264
223	0.5	75	75	1/4	1/4	3/4	2	1	1/8		1/8	1		0	48	1273
223	0.5	75	75	1/4	1/4	3/4	2	1	1/8		1/8	1		3	57	1273
223	0.5	75	75	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65	1265
224	0.0	75	75	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1266
224	1.0	75	75	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1274
224	1.0	75	75	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1274
224	1.0	75	75	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1270
224	0.5	75	75	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1267
449/2	0.25	75	75	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1268
899/4	0.25	75	75	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1269
225	0.5	76	76	0	0	3/4	2	1	1/8		1/8	1		-1	53	1288
225	0.5	76	76	0	0	3/4	2	1	1/8		1/8	1		3	57	1288
225	0.25	76	76	0	0	3/4	1	2	1/16		1/16	1		-1	65	1286
901/4	0.25	76	76	1/16	1/16	3/4	1	1	1/16		1/16	1		0	72	1275
451/2	0.25	76	76	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	1276
903/4	0.25	76	76	3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70	1277
226	0.25	76	76	1/4	1/4	3/4	1	1	1/16		1/16	1		3	69	1278
905/4	0.25	76	76	5/16	5/16	3/4	1	1	1/16		1/16	1		-4	68	1279
453/2	0.25	76	76	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	1280
907/4	0.25	76	76	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	1281
227	0.0	76	76	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1282
227	1.0	76	76	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1289
227	1.0	76	76	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1289
227	1.0	76	76	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1287
227	0.5	76	76	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1283
455/2	0.25	76	76	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1284
911/4	0.25	76	76	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1285
228	0.5	77	77	0	0	3/4	2	1	1/8		1/8	1		-1	53	1303
228	0.5	77	77	0	0	3/4	2	1	1/8		1/8	1		3	57	1303
228	0.25	77	77	0	0	3/4	1	2	1/16		1/16	1		-1	65	1301
913/4	0.25	77	77	1/16	1/16	3/4	1	1	1/16		1/16	1		0	72	1290
457/2	0.25	77	77	1/8	1/8	3/4	1	1	1/16		1/16	1		5	71	1291
915/4	0.25	77	77	3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70	1292
229	0.25	77	77	1/4	1/4	3/4	1	1	1/16		1/16	1		3	69	1293
917/4	0.25	77	77	5/16	5/16	3/4	1	1	1/16		1/16	1		-4	68	1294
459/2	0.25	77	77	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	1295
919/4	0.25	77	77	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	1296
230	0.0	77	77	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	1297
230	1.0	77	77	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	1304
230	1.0	77	77	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	1304
230	1.0	77	77	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	1302
230	0.5	77	77	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	1298
461/2	0.25	77	77	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	1299
923/4	0.25	77	77	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	1300
231	0.5	78	78	0	0	3/4	2	1	1/8		1/8	1		-1	53	1310
231	0.5	78	78	0	0	3/4	2	1	1/8		1/8	1		3	57	1310
231	0.5	78	78	0	0	3/4	1	2	1/8		1/8	1		-1	65	1309
463/2	1.0	78	78	1/8	1/8	3/4	1	1	1/4		1/4	1		3	57	1305
463/2	1.0	78	78	1/8	1/8	3/4	1	1	1/4		1/4	1		0	60	1305
232	0.5	78	78	1/4	1/4	3/4	2	1	1/8		1/8	1		3	33	1311
232	0.5	78	78	1/4	1/4	3/4	2	1	1/8		1/8	1		3	45	1311
465/2	0.5	78	78	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	53	1306
465/2	0.5	78	78	3/8	3/8	3/4	1	1	1/8		1/8	1		3	57	1306
233	0.5	78	78	1/2	1/2	3/4	2	1	1/8		1/8	1		0	36	1312
233	0.5	78	78	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	1312
233	0.5	78	78	1/2	1/2	3/4	1	1	1/8		1/8	1		4	52	1307
233	0.5	78	78	1/2	1/2	3/4	1	1	1/8		1/8	1		1	55	1307
467/2	0.5	78	78	5/8	5/8	3/4	1	1	1/8		1/8	1		1	55	1308
467/2	0.5	78	78	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	58	1308
234	2.0	79	79	0	0	3/4	2	1	1/2		1/2	1		-1	41	1315
234	2.0	79	79	0	0	3/4	2	1	1/2		1/2	1		0	48	1315
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		4	52	1313
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		1	55	1313
234	2.0	79	79	0	0	3/4	1	1	1/2		1/2	1		-2	58	1313
236	0.5	79	79	1/2	1/2	3/4	2	1	1/8		1/8	1		-1	41	1316
236	0.5	79	79	1/2	1/2	3/4	2	1	1/8		1/8	1		0	48	1316
236	0.5	79	79	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	53	1314
236	0.5	79	79	1/2	1/2	3/4	1	1	1/8		1/8	1		3	57	1314
